MIP,23E,0,4126
MIP,23I,4127,5290
MIP,4E,5291,6877
MIP,4I,6878,7273
MIP,5E,7274,8041
MIP,5I,8042,8209
MIP,6E,8210,11669
MIP,6I,11670,12377
MDP,23E,0,4433
MDP,23I,4434,5683
MDP,4E,5684,7935
MDP,4I,7936,8498
MDP,5E,8499,9972
MDP,5I,9973,10295
MDP,6E,10296,12065
MDP,6I,12066,12427
VIP,23E,0,5667
VIP,23I,5668,7265
VIP,4E,7266,9892
VIP,4I,9893,10548
VIP,5E,10549,11557
VIP,5I,11558,11778
VIP,6E,11779,12564
VIP,6I,12565,12725
LIP,23E,0,5197
LIP,23I,5198,6663
LIP,4E,6664,8672
LIP,4I,8673,9174
LIP,5E,9175,10337
LIP,5I,10338,10592
LIP,6E,10593,13403
LIP,6I,13404,13978
PITv,23E,0,4530
PITv,23I,4531,5808
PITv,4E,5809,9569
PITv,4I,9570,10509
PITv,5E,10510,12091
PITv,5I,12092,12438
PITv,6E,12439,14338
PITv,6I,14339,14727
PITd,23E,0,4530
PITd,23I,4531,5808
PITd,4E,5809,9569
PITd,4I,9570,10509
PITd,5E,10510,12091
PITd,5I,12092,12438
PITd,6E,12439,14338
PITd,6I,14339,14727
MSTl,23E,0,4433
MSTl,23I,4434,5683
MSTl,4E,5684,7935
MSTl,4I,7936,8498
MSTl,5E,8499,9972
MSTl,5I,9973,10295
MSTl,6E,10296,12065
MSTl,6I,12066,12427
CITv,23E,0,4168
CITv,23I,4169,5344
CITv,4E,5345,6874
CITv,4I,6875,7256
CITv,5E,7257,8694
CITv,5I,8695,9009
CITv,6E,9010,10736
CITv,6I,10737,11089
CITd,23E,0,4168
CITd,23I,4169,5344
CITd,4E,5345,6874
CITd,4I,6875,7256
CITd,5E,7257,8694
CITd,5I,8695,9009
CITd,6E,9010,10736
CITd,6I,10737,11089
FEF,23E,0,4404
FEF,23I,4405,5646
FEF,4E,5647,7960
FEF,4I,7961,8538
FEF,5E,8539,10232
FEF,5I,10233,10604
FEF,6E,10605,12216
FEF,6I,12217,12546
TF,23E,0,3076
TF,23I,3077,3944
TF,4E,3945,5658
TF,4I,5659,6086
TF,5E,6087,7194
TF,5I,7195,7437
TF,6E,7438,8768
TF,6I,8769,9040
AITv,23E,0,4921
AITv,23I,4922,6309
AITv,4E,6310,8115
AITv,4I,8116,8566
AITv,5E,8567,10264
AITv,5I,10265,10636
AITv,6E,10637,12675
AITv,6I,12676,13092
FST,23E,0,3632
FST,23I,3633,4656
FST,4E,4657,5906
FST,4I,5907,6218
FST,5E,6219,7480
FST,5I,7481,7757
FST,6E,7758,9273
FST,6I,9274,9583
7a,23E,0,4947
7a,23I,4948,6342
7a,4E,6343,7669
7a,4I,7670,8001
7a,5E,8002,9582
7a,5I,9583,9929
7a,6E,9930,11828
7a,6I,11829,12217
STPp,23E,0,4166
STPp,23I,4167,5341
STPp,4E,5342,6650
STPp,4I,6651,6977
STPp,5E,6978,8398
STPp,5I,8399,8710
STPp,6E,8711,10417
STPp,6I,10418,10766
STPa,23E,0,4166
STPa,23I,4167,5341
STPa,4E,5342,6650
STPa,4I,6651,6977
STPa,5E,6978,8398
STPa,5I,8399,8710
STPa,6E,8711,10417
STPa,6I,10418,10766
46,23E,0,3257
46,23I,3258,4176
46,4E,4177,5240
46,4I,5241,5506
46,5E,5507,6691
46,5I,6692,6951
46,6E,6952,8535
46,6I,8536,8859
AITd,23E,0,4921
AITd,23I,4922,6309
AITd,4E,6310,8115
AITd,4I,8116,8566
AITd,5E,8567,10264
AITd,5I,10265,10636
AITd,6E,10637,12675
AITd,6I,12676,13092
TH,23E,0,2470
TH,23I,2471,3167
TH,5E,3168,5502
TH,5I,5503,6014
TH,6E,6015,7100
TH,6I,7101,7322
